City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
189,Mount Gambier,AU,2022-01-10 02:35:03,-37.8333,140.7667,87.71,22,78,6.91,broken clouds
190,Tual,ID,2022-01-10 02:37:31,-5.6667,132.75,83.05,76,77,9.01,broken clouds
191,Imbituba,BR,2022-01-10 02:37:32,-28.24,-48.6703,73.81,87,100,6.71,overcast clouds
192,Fare,PF,2022-01-10 02:37:32,-16.7,-151.0167,81.21,78,65,16.49,light rain
193,Upernavik,GL,2022-01-10 02:37:32,72.7868,-56.1549,3.02,99,100,2.37,overcast clouds
194,Cherskiy,RU,2022-01-10 02:33:11,68.75,161.3,-13.04,97,100,1.92,overcast clouds
195,Vertou,FR,2022-01-10 02:37:33,47.1687,-1.4693,48.74,93,100,3.44,mist
196,Cairns,AU,2022-01-10 02:37:33,-16.9167,145.7667,85.95,86,75,3.44,broken clouds
197,San Cristobal,VE,2022-01-10 02:36:06,7.7669,-72.225,66.38,92,20,2.35,few clouds
198,Saskylakh,RU,2022-01-10 02:37:34,71.9167,114.0833,-0.94,95,85,8.43,overcast clouds
199,Qinhuangdao,CN,2022-01-10 02:37:35,39.9317,119.5883,27.5,58,97,10.2,overcast clouds
200,Cameta,BR,2022-01-10 02:37:35,-2.2444,-49.4958,73.62,91,96,3.42,overcast clouds
201,Lagoa,PT,2022-01-10 02:37:36,39.05,-27.9833,60.3,75,100,17.54,overcast clouds
202,Camocim,BR,2022-01-10 02:37:36,-2.9022,-40.8411,78.42,80,100,5.55,overcast clouds
203,Kununurra,AU,2022-01-10 02:37:36,-15.7667,128.7333,93.18,62,8,3.44,clear sky
204,Cascais,PT,2022-01-10 02:37:37,38.6979,-9.4215,57.51,73,54,3.0,broken clouds
205,Mangai,CD,2022-01-10 02:37:37,-4.05,19.5333,67.8,96,98,1.66,light rain
206,Onufriyivka,UA,2022-01-10 02:37:38,48.9072,33.4487,34.99,94,100,2.3,overcast clouds
207,Longyearbyen,SJ,2022-01-10 02:37:38,78.2186,15.6401,22.84,74,75,5.75,broken clouds
208,Codrington,AU,2022-01-10 02:37:39,-38.2667,141.9667,74.14,54,81,15.61,broken clouds
209,Evensk,RU,2022-01-10 02:37:39,61.95,159.2333,10.72,78,100,8.16,overcast clouds
210,Morozovsk,RU,2022-01-10 02:37:39,48.3539,41.8261,30.42,93,100,13.78,overcast clouds
211,Atar,MR,2022-01-10 02:37:40,20.5169,-13.0499,65.84,11,100,9.31,overcast clouds
212,Sao Joao Da Barra,BR,2022-01-10 02:37:40,-21.6403,-41.0511,69.64,96,100,8.39,overcast clouds
213,Brae,GB,2022-01-10 02:37:41,60.3964,-1.353,42.71,78,100,24.65,overcast clouds
214,Roebourne,AU,2022-01-10 02:37:20,-20.7833,117.1333,90.59,47,0,14.52,light rain
215,Pochutla,MX,2022-01-10 02:37:42,15.7432,-96.4661,77.85,76,75,3.67,broken clouds
216,Tautira,PF,2022-01-10 02:37:42,-17.7333,-149.15,78.82,82,87,22.75,light rain
217,Sarangpur,IN,2022-01-10 02:37:43,23.5667,76.4667,54.39,68,0,7.18,clear sky
218,Roald,NO,2022-01-10 02:37:43,62.5833,6.1333,33.94,64,0,13.8,clear sky
219,East London,ZA,2022-01-10 02:37:43,-33.0153,27.9116,71.02,89,99,3.04,overcast clouds
220,Beyneu,KZ,2022-01-10 02:37:44,45.3167,55.2,30.69,82,17,19.69,few clouds
221,Port Shepstone,ZA,2022-01-10 02:37:44,-30.7414,30.455,71.76,85,40,22.03,scattered clouds
222,Saint George,US,2022-01-10 02:37:44,37.1041,-113.5841,50.47,41,0,3.0,clear sky
223,Sribne,UA,2022-01-10 02:37:45,50.6638,32.9187,31.82,99,100,3.31,light snow
224,Buenos Aires,AR,2022-01-10 02:32:51,-34.6132,-58.3772,79.02,68,0,9.22,clear sky
